Timestamp (ms), GPS LONGITUDE
68001,-88.53039
68020,-88.53039
68126,-88.5304
68226,-88.5304
68326,-88.5304
68426,-88.5304
68528,-88.5304
68628,-88.5304
68729,-88.5304
68829,-88.5304
68940,-88.5304
69043,-88.5304
69043,-88.5304
69143,-88.5304
69143,-88.5304
69243,-88.5304
69243,-88.5304
69346,-88.5304
69446,-88.5304
69546,-88.5304
69546,-88.5304
69646,-88.5304
69646,-88.5304
69746,-88.5304
69746,-88.5304
69847,-88.5304
69947,-88.5304
69947,-88.5304
70048,-88.5304
70048,-88.5304
70148,-88.5304
70148,-88.5304
70248,-88.5304
70348,-88.5304
70448,-88.5304
70548,-88.5304
70650,-88.5304
70750,-88.5304
70850,-88.5304
70951,-88.5304
71051,-88.5304
71154,-88.5304
71254,-88.5304
71354,-88.5304
71454,-88.5304
71555,-88.5304
71657,-88.5304
71757,-88.5304
71857,-88.5304
71958,-88.5304
72062,-88.5304
72162,-88.5304
72262,-88.5304
72362,-88.5304
72462,-88.5304
72566,-88.5304
72666,-88.53042
72766,-88.53042
72866,-88.53043
72972,-88.53043
73075,-88.53043
73175,-88.53043
73275,-88.53043
73377,-88.53043
73477,-88.53043
73577,-88.53045
73677,-88.53045
73781,-88.53045
73881,-88.53045
73981,-88.53045
73981,-88.53045
74081,-88.53045
74081,-88.53045
74181,-88.53045
74181,-88.53045
74281,-88.53045
74381,-88.53045
74481,-88.53045
74582,-88.53045
74582,-88.53045
74682,-88.53045
74682,-88.53045
74784,-88.53045
74884,-88.53045
74884,-88.53045
74984,-88.53045
75084,-88.53045
75084,-88.53045
75184,-88.53045
75184,-88.53045
75285,-88.53045
75285,-88.53045
75385,-88.53045
75385,-88.53045
75485,-88.53045
75586,-88.53045
75688,-88.53045
75788,-88.53045
75788,-88.53045
75888,-88.53045
75989,-88.53045
76089,-88.53045
76191,-88.53045
76291,-88.53045
76391,-88.53045
76492,-88.53045
76492,-88.53045
76594,-88.53045
76694,-88.53045
76694,-88.53045
76794,-88.53045
76894,-88.53045
76994,-88.53045
77095,-88.53045
77195,-88.53045
77295,-88.53045
77396,-88.53045
77499,-88.53045
77599,-88.53045
77699,-88.53045
77799,-88.53045
77901,-88.53045
78001,-88.53047
78109,-88.53047
78210,-88.53047
78310,-88.53047
78410,-88.53047
78510,-88.53047
78610,-88.53047
78712,-88.53047
78812,-88.53047
78912,-88.53047
79012,-88.53047
79112,-88.53047
79212,-88.53047
79312,-88.53047
79412,-88.53047
79516,-88.53047
79616,-88.53047
79716,-88.53047
79816,-88.53047
79932,-88.53047
80045,-88.53047
80147,-88.53047
80247,-88.53047
80351,-88.53047
80456,-88.53047
80556,-88.53047
80656,-88.53047
80762,-88.53047
80865,-88.53047
80965,-88.53047
81066,-88.53047
81174,-88.53047
81277,-88.53047
81277,-88.53047
81377,-88.53047
81478,-88.53047
81478,-88.53047
81578,-88.53047
81678,-88.53047
81778,-88.53047
81878,-88.53047
81980,-88.53047
82080,-88.53047
82180,-88.53047
82280,-88.53047
82380,-88.53047
82480,-88.53047
82580,-88.53047
82684,-88.53047
82786,-88.53047
82886,-88.53047
82986,-88.53047
83086,-88.53047
83186,-88.53047
83289,-88.53047
83395,-88.53047
83496,-88.53047
83597,-88.53047
83697,-88.53047
83798,-88.53047
83899,-88.53047
83999,-88.53047
84102,-88.53047
84202,-88.53047
84302,-88.53047
84402,-88.53047
84502,-88.53047
84604,-88.53047
84704,-88.53047
84805,-88.53047
84905,-88.53047
85007,-88.53047
85107,-88.53047
85208,-88.53047
85308,-88.53047
85414,-88.53047
85514,-88.53047
85614,-88.53047
85714,-88.53047
85819,-88.53047
85919,-88.53047
86019,-88.53047
86122,-88.53047
86222,-88.53047
86322,-88.53047
86422,-88.53047
86522,-88.53047
86622,-88.53047
86726,-88.53049
86832,-88.53049
86936,-88.53049
87036,-88.53049
87137,-88.53049
87241,-88.53049
87344,-88.53049
87444,-88.53049
87544,-88.53049
87650,-88.53049
87751,-88.53049
87851,-88.5305
87951,-88.5305
88054,-88.5305
88154,-88.5305
88254,-88.5305
88355,-88.5305
88457,-88.5305
88557,-88.5305
88657,-88.5305
88757,-88.5305
88859,-88.53052
88959,-88.53052
89059,-88.53052
89159,-88.53052
89263,-88.53052
89363,-88.53052
89463,-88.53052
89565,-88.53052
89667,-88.53052
89767,-88.53052
89867,-88.53052
89967,-88.53053
90068,-88.53053
90169,-88.53053
90271,-88.53053
90372,-88.53053
90474,-88.53053
90574,-88.53053
90674,-88.53053
90775,-88.53053
90878,-88.53053
90978,-88.53055
91078,-88.53055
91178,-88.53055
91278,-88.53055
91378,-88.53055
91478,-88.53055
91580,-88.53055
91680,-88.53055
91780,-88.53056
91880,-88.53056
91985,-88.53056
92085,-88.53056
92185,-88.53056
92288,-88.53056
92388,-88.53056
92488,-88.53056
92588,-88.53056
92688,-88.53056
92793,-88.53059
92893,-88.53059
92993,-88.53059
93093,-88.53059
93196,-88.53059
93302,-88.53059
93402,-88.53059
93510,-88.53059
93610,-88.53059
93710,-88.53059
93810,-88.5306
93910,-88.5306
94011,-88.5306
94112,-88.5306
94212,-88.5306
94312,-88.5306
94416,-88.5306
94516,-88.5306
94616,-88.5306
94716,-88.5306
94819,-88.5306
94919,-88.53062
95019,-88.53062
95119,-88.53062
95223,-88.53062
95323,-88.53062
95423,-88.53062
95523,-88.53062
95626,-88.53062
95726,-88.53062
95826,-88.53063
95926,-88.53063
96029,-88.53063
96129,-88.53063
96229,-88.53063
96329,-88.53063
96434,-88.53063
96534,-88.53063
96636,-88.53063
96736,-88.53063
96838,-88.53063
96938,-88.53065
97039,-88.53065
97139,-88.53065
97244,-88.53065
97344,-88.53065
97444,-88.53065
97545,-88.53065
97650,-88.53065
97750,-88.53065
97850,-88.53065
97950,-88.53065
98050,-88.53066
98154,-88.53066
98254,-88.53066
98355,-88.53066
98456,-88.53066
98557,-88.53066
98657,-88.53066
98757,-88.53066
98860,-88.53066
98960,-88.53066
99060,-88.53066
99160,-88.53066
99260,-88.53068
99360,-88.53068
99468,-88.53068
99568,-88.53068
99668,-88.53068
99768,-88.53068
99875,-88.53068
99976,-88.53068
100079,-88.53068
100179,-88.53068
100280,-88.53068
100380,-88.53068
100480,-88.53068
100580,-88.53068
100680,-88.53068
100782,-88.53068
100882,-88.53068
100982,-88.53068
101084,-88.53068
101186,-88.53068
101286,-88.53068
101386,-88.53069
101486,-88.53069
101586,-88.53069
101686,-88.53069
101786,-88.53069
101890,-88.53069
101990,-88.53069
102090,-88.53069
102190,-88.53069
102296,-88.53069
102403,-88.53069
102505,-88.53069
102605,-88.53069
102706,-88.53069
102806,-88.53069
102910,-88.53069
103010,-88.53069
103110,-88.53069
103210,-88.53069
103310,-88.53069
103410,-88.53069
103510,-88.53069
103611,-88.53069
103711,-88.53069
103811,-88.53069
103912,-88.530716
104013,-88.530716
104113,-88.530716
104217,-88.530716
104317,-88.530716
104417,-88.530716
104517,-88.530716
104617,-88.530716
104718,-88.530716
104818,-88.530716
104918,-88.530716
105019,-88.530716
105119,-88.530716
105219,-88.530716
105322,-88.530716
105424,-88.530716
105533,-88.530716
105633,-88.530716
105733,-88.530716
105833,-88.530716
105946,-88.530716
106046,-88.530716
106046,-88.530716
106148,-88.530716
106248,-88.530716
106348,-88.530716
106448,-88.530716
106548,-88.530716
106650,-88.530716
106750,-88.530716
106850,-88.530716
106950,-88.530716
107056,-88.530716
107159,-88.530716
107260,-88.530716
107361,-88.530716
107464,-88.530716
107565,-88.530716
107665,-88.530716
107765,-88.530716
107868,-88.530716
107968,-88.530716
108068,-88.530716
108171,-88.530716
108271,-88.530716
108371,-88.530716
108471,-88.530716
108571,-88.530716
108674,-88.53069
108777,-88.53069
108877,-88.53069
108979,-88.53069
109082,-88.53069
109188,-88.53069
109289,-88.53069
109391,-88.53069
109491,-88.53069
109591,-88.53069
109692,-88.53069
109797,-88.53069
109897,-88.53069
109997,-88.53069
110097,-88.53069
110197,-88.53069
110297,-88.53069
110397,-88.53069
110497,-88.53069
110599,-88.53069
110701,-88.53069
110801,-88.53069
110901,-88.53069
111007,-88.53069
111107,-88.53069
111207,-88.53068
111311,-88.53068
111411,-88.53068
111511,-88.53068
111611,-88.53068
111711,-88.53068
111811,-88.53068
111911,-88.53068
112011,-88.53068
112111,-88.53068
112214,-88.53068
112317,-88.53068
112418,-88.53068
112563,-88.53068
112665,-88.53066
112765,-88.53066
112865,-88.53066
112966,-88.53066
113070,-88.53066
113170,-88.53066
113270,-88.53066
113371,-88.53066
113472,-88.53066
113573,-88.53066
113673,-88.53066
113774,-88.53066
113881,-88.53065
113981,-88.53065
114081,-88.53065
114181,-88.53065
114285,-88.53065
114385,-88.53065
114486,-88.53065
114586,-88.53065
114694,-88.53065
114794,-88.53065
114894,-88.53065
114994,-88.53065
115094,-88.53063
115194,-88.53063
115294,-88.53063
115394,-88.53063
115494,-88.53063
115594,-88.53063
115695,-88.53063
115797,-88.53063
115898,-88.53063
115998,-88.53063
116098,-88.53062
116200,-88.53062
116301,-88.53062
116401,-88.53062
116501,-88.53062
116605,-88.53062
116705,-88.53062
116805,-88.53062
116905,-88.53062
117009,-88.53062
117112,-88.5306
117212,-88.5306
117312,-88.5306
117415,-88.5306
117515,-88.5306
117615,-88.5306
117715,-88.5306
117817,-88.5306
117921,-88.5306
118021,-88.5306
118121,-88.53059
118221,-88.53059
118322,-88.53059
118424,-88.53059
118524,-88.53059
118624,-88.53059
118727,-88.53059
118829,-88.53059
118929,-88.53059
119036,-88.53056
119136,-88.53056
119236,-88.53056
119337,-88.53056
119442,-88.53056
119542,-88.53056
119642,-88.53056
119742,-88.53056
119849,-88.53055
119953,-88.53055
120054,-88.53055
120154,-88.53055
120258,-88.53055
120358,-88.53055
120458,-88.53055
120558,-88.53053
120658,-88.53053
120759,-88.53053
120859,-88.53053
120959,-88.53053
121060,-88.53053
121161,-88.53053
121262,-88.53053
121362,-88.53053
121462,-88.53052
121565,-88.53052
121665,-88.53052
121765,-88.53052
121865,-88.53052
121969,-88.53052
122069,-88.53052
122174,-88.53052
122274,-88.5305
122378,-88.5305
122478,-88.5305
122578,-88.5305
122679,-88.5305
122780,-88.5305
122880,-88.5305
122981,-88.53049
123081,-88.53049
123181,-88.53049
123281,-88.53049
123381,-88.53049
123481,-88.53049
123584,-88.53049
123684,-88.53047
123784,-88.53047
123884,-88.53047
123992,-88.53047
124092,-88.53047
124192,-88.53047
124296,-88.53047
124398,-88.53045
124498,-88.53045
124604,-88.53045
124706,-88.53045
124809,-88.53045
124909,-88.53045
125009,-88.53045
125109,-88.53043
125212,-88.53043
125312,-88.53043
125412,-88.53043
125512,-88.53043
125618,-88.53043
125719,-88.53042
125819,-88.53042
125919,-88.53042
126019,-88.53042
126125,-88.53042
126225,-88.53042
126326,-88.53042
126426,-88.5304
126527,-88.5304
126627,-88.5304
126727,-88.5304
126827,-88.5304
126931,-88.5304
127069,-88.5304
127172,-88.53039
127172,-88.53039
127272,-88.53039
127272,-88.53039
127372,-88.53039
127472,-88.53039
127572,-88.53039
127672,-88.53037
127772,-88.53037
127872,-88.53037
127972,-88.53037
128073,-88.53037
128174,-88.53037
128274,-88.53036
128374,-88.53036
128474,-88.53036
128578,-88.53036
128678,-88.53036
128778,-88.53036
128878,-88.53034
128980,-88.53034
129080,-88.53034
129180,-88.53034
129281,-88.53034
129382,-88.53034
129484,-88.53034
129584,-88.53032
129687,-88.53032
129787,-88.53032
129887,-88.53032
129987,-88.53032
130092,-88.53032
130192,-88.53032
130292,-88.530304
130392,-88.530304
130495,-88.530304
130595,-88.530304
130695,-88.530304
130795,-88.530304
130899,-88.530304
130999,-88.53029
131099,-88.53029
131199,-88.53029
131301,-88.53029
131402,-88.53029
131502,-88.53029
131602,-88.53029
131703,-88.53029
131804,-88.53027
131904,-88.53027
132010,-88.53027
132116,-88.53027
132216,-88.53027
132316,-88.53027
132416,-88.53026
132517,-88.53026
132617,-88.53026
132717,-88.53026
132820,-88.53026
132920,-88.53026
133020,-88.53026
133120,-88.53024
133220,-88.53024
133324,-88.53024
133424,-88.53024
133524,-88.53024
133628,-88.53024
133728,-88.53024
133828,-88.53024
133928,-88.53023
134032,-88.53023
134132,-88.53023
134232,-88.53023
134332,-88.53023
134436,-88.53023
134536,-88.53023
134636,-88.53023
134736,-88.530205
134838,-88.530205
134938,-88.530205
135041,-88.530205
135142,-88.530205
135242,-88.530205
135342,-88.530205
135442,-88.530205
135548,-88.53019
135651,-88.53019
135751,-88.53019
135851,-88.53019
135952,-88.53019
136057,-88.53019
136157,-88.53019
136257,-88.53019
136357,-88.53019
136460,-88.530174
136560,-88.530174
136660,-88.530174
136761,-88.530174
136864,-88.530174
136964,-88.530174
137064,-88.530174
137164,-88.530174
137265,-88.530174
137365,-88.53016
137465,-88.53016
137572,-88.53016
137673,-88.53016
137773,-88.53016
137873,-88.53016
137973,-88.53016
138073,-88.53016
138173,-88.53014
138273,-88.53014
138391,-88.53014
138505,-88.53014
138605,-88.53014
138710,-88.53014
138813,-88.53013
138913,-88.53013
139013,-88.53013
139113,-88.53013
139216,-88.53013
139316,-88.53013
139416,-88.53013
139516,-88.53011
139616,-88.53011
139716,-88.53011
139816,-88.53011
139916,-88.53011
140023,-88.53011
140127,-88.53011
140227,-88.5301
140327,-88.5301
140427,-88.5301
140527,-88.5301
140627,-88.5301
140727,-88.5301
140830,-88.530075
140930,-88.530075
141030,-88.530075
141130,-88.530075
141234,-88.530075
141334,-88.530075
141437,-88.530075
141537,-88.530075
141642,-88.530075
141745,-88.530075
141845,-88.530075
141945,-88.530075
142045,-88.530075
142148,-88.530075
142249,-88.530075
142350,-88.530075
142450,-88.530075
142550,-88.530075
142550,-88.530075
142739,-88.530075
142750,-88.530075
142750,-88.530075
142850,-88.530075
142850,-88.530075
142950,-88.530075
143053,-88.530075
143053,-88.530075
143154,-88.530075
143154,-88.530075
143254,-88.53006
143254,-88.53006
143368,-88.53006
143473,-88.53006
143574,-88.53006
143674,-88.530045
143775,-88.530045
143876,-88.530045
143976,-88.530045
144076,-88.530045
144176,-88.530045
144279,-88.530045
144380,-88.530045
144480,-88.530045
144586,-88.530045
144686,-88.530045
144786,-88.530045
144891,-88.530045
144993,-88.530045
145093,-88.530045
145197,-88.53003
145297,-88.53003
145398,-88.53003
145498,-88.53003
145598,-88.53003
145698,-88.53003
145798,-88.53003
145899,-88.53003
145999,-88.53003
146099,-88.53003
146199,-88.53003
146300,-88.530014
146400,-88.530014
146500,-88.530014
146600,-88.530014
146704,-88.530014
146804,-88.530014
146904,-88.530014
147010,-88.530014
147113,-88.530014
147213,-88.53
147313,-88.53
147415,-88.53
147515,-88.53
147618,-88.53
147719,-88.53
147822,-88.53
147922,-88.52998
148024,-88.52998
148124,-88.52998
148239,-88.52998
148339,-88.52998
148439,-88.52998
148539,-88.52998
148639,-88.52998
148742,-88.52996
148842,-88.52996
148947,-88.52996
149047,-88.52996
149147,-88.52996
149247,-88.52996
149347,-88.529945
149453,-88.529945
149553,-88.529945
149653,-88.529945
149753,-88.529945
149855,-88.529945
149955,-88.529945
150055,-88.529945
150156,-88.529945
150259,-88.52993
150359,-88.52993
150460,-88.52993
150560,-88.52993
150666,-88.52993
150766,-88.52993
150866,-88.52993
150971,-88.529915
151071,-88.529915
151171,-88.529915
151271,-88.529915
151387,-88.529915
151487,-88.529915
151487,-88.529915
151587,-88.5299
151587,-88.5299
151687,-88.5299
151687,-88.5299
151787,-88.5299
151888,-88.5299
151888,-88.5299
151989,-88.5299
151989,-88.5299
152089,-88.5299
152089,-88.5299
152189,-88.5299
152289,-88.529884
152389,-88.529884
152489,-88.529884
152592,-88.529884
152692,-88.529884
152792,-88.52987
152892,-88.52987
152994,-88.52987
153094,-88.52987
153194,-88.52987
153294,-88.52987
153396,-88.529854
153496,-88.529854
153596,-88.529854
153696,-88.529854
153796,-88.529854
153896,-88.529854
153996,-88.52983
154096,-88.52983
154199,-88.52983
154299,-88.52983
154401,-88.52983
154503,-88.52983
154603,-88.529816
154703,-88.529816
154803,-88.529816
154906,-88.529816
155008,-88.529816
155112,-88.529816
155213,-88.529816
155313,-88.5298
155415,-88.5298
155515,-88.5298
155615,-88.5298
155715,-88.5298
155817,-88.5298
155917,-88.5298
156017,-88.5298
156117,-88.529785
156223,-88.529785
156327,-88.529785
156428,-88.529785
156528,-88.529785
156628,-88.529785
156731,-88.52977
156831,-88.52977
156931,-88.52977
157032,-88.52977
157132,-88.52977
157232,-88.52977
157337,-88.52977
157443,-88.529755
157545,-88.529755
157649,-88.529755
157755,-88.529755
157856,-88.529755
157958,-88.529755
158058,-88.52974
158158,-88.52974
158259,-88.52974
158365,-88.52974
158469,-88.52974
158569,-88.52974
158669,-88.52974
158771,-88.52972
158872,-88.52972
158972,-88.52972
159072,-88.52972
159174,-88.52972
159275,-88.52972
159375,-88.5297
159475,-88.5297
159575,-88.5297
159675,-88.5297
159775,-88.5297
159882,-88.5297
159985,-88.5297
160086,-88.5297
160186,-88.529686
160289,-88.529686
160389,-88.529686
160489,-88.529686
160589,-88.529686
160689,-88.529686
160789,-88.529686
160889,-88.529686
160989,-88.52967
161089,-88.52967
161191,-88.52967
161291,-88.52967
161391,-88.52967
161491,-88.52967
161593,-88.52967
161693,-88.52967
161793,-88.529655
161893,-88.529655
161993,-88.529655
162093,-88.529655
162193,-88.529655
162294,-88.529655
162394,-88.529655
162495,-88.52964
162595,-88.52964
162695,-88.52964
162795,-88.52964
162895,-88.52964
162995,-88.52964
163100,-88.52964
163200,-88.52964
163300,-88.52964
163400,-88.52964
163505,-88.529625
163606,-88.529625
163712,-88.529625
163814,-88.529625
163914,-88.529625
164014,-88.529625
164114,-88.529625
164217,-88.529625
164318,-88.529625
164318,-88.529625
164418,-88.529625
164418,-88.529625
164518,-88.52961
164518,-88.52961
164621,-88.52961
164621,-88.52961
164721,-88.52961
164721,-88.52961
164821,-88.52961
164821,-88.52961
164921,-88.52961
165021,-88.52961
165121,-88.52961
165221,-88.52961
165322,-88.52961
165423,-88.52961
165523,-88.52961
165624,-88.52959
165724,-88.52959
165825,-88.52959
165928,-88.52959
166028,-88.52959
