Timestamp (ms), GPS LATITUDE
68001,44.084415
68020,44.084415
68126,44.084415
68226,44.084408
68326,44.084408
68426,44.084408
68528,44.084408
68628,44.084408
68729,44.084408
68829,44.084408
68940,44.084408
69043,44.084408
69043,44.084408
69143,44.084408
69143,44.084408
69243,44.084408
69243,44.084408
69346,44.084408
69446,44.084408
69546,44.084408
69646,44.084408
69646,44.084408
69746,44.084408
69746,44.084408
69847,44.084408
69947,44.084408
70048,44.0844
70048,44.0844
70148,44.0844
70148,44.0844
70248,44.0844
70348,44.0844
70448,44.0844
70548,44.0844
70650,44.0844
70750,44.0844
70850,44.0844
70951,44.0844
71051,44.0844
71154,44.0844
71254,44.0844
71354,44.0844
71454,44.0844
71555,44.0844
71657,44.0844
71757,44.084393
71857,44.084393
71958,44.084393
72062,44.084393
72162,44.084393
72262,44.084393
72362,44.084393
72462,44.084393
72566,44.084393
72666,44.084393
72766,44.084393
72866,44.084385
72972,44.084385
73075,44.084385
73175,44.084385
73275,44.084385
73377,44.084385
73477,44.084385
73577,44.084385
73677,44.084385
73781,44.084385
73881,44.084385
73981,44.084385
73981,44.084385
74081,44.084385
74081,44.084385
74181,44.084385
74181,44.084385
74281,44.084385
74381,44.084385
74481,44.084393
74582,44.084393
74582,44.084393
74682,44.084393
74682,44.084393
74784,44.084393
74884,44.084393
74984,44.084393
75084,44.084393
75184,44.084393
75184,44.084393
75285,44.084393
75285,44.084393
75385,44.084393
75385,44.084393
75485,44.084393
75586,44.084393
75688,44.084393
75788,44.084393
75788,44.084393
75888,44.084393
75989,44.084393
76089,44.084393
76191,44.084393
76291,44.084393
76391,44.084393
76492,44.084393
76492,44.084393
76594,44.084393
76694,44.084393
76794,44.084393
76894,44.084393
76994,44.084393
77095,44.084393
77195,44.084393
77295,44.084393
77396,44.084393
77499,44.084393
77599,44.084393
77699,44.084393
77799,44.084393
77901,44.084393
78001,44.084393
78109,44.084393
78210,44.084393
78310,44.084393
78410,44.084393
78510,44.084393
78610,44.084393
78712,44.084393
78812,44.084393
78912,44.084393
79012,44.084393
79112,44.084393
79212,44.084393
79312,44.084393
79412,44.084393
79516,44.084393
79616,44.084393
79716,44.084393
79816,44.084393
79932,44.084393
80045,44.084393
80147,44.084393
80247,44.084393
80351,44.084393
80456,44.084393
80556,44.084393
80656,44.084393
80762,44.084393
80865,44.084393
80965,44.084393
81066,44.084393
81174,44.084393
81277,44.084393
81377,44.084393
81478,44.084393
81478,44.084393
81578,44.084393
81678,44.084393
81778,44.084393
81878,44.084393
81980,44.084393
82080,44.084393
82180,44.084393
82280,44.084393
82380,44.084393
82480,44.084393
82580,44.084393
82684,44.084393
82786,44.084393
82886,44.084393
82986,44.084393
83086,44.084393
83186,44.084393
83289,44.084393
83395,44.084393
83496,44.084393
83597,44.084393
83697,44.084393
83798,44.084393
83899,44.084393
83999,44.084393
84102,44.084393
84202,44.084393
84302,44.084393
84402,44.084393
84502,44.084393
84604,44.084393
84704,44.084393
84805,44.0844
84905,44.0844
85007,44.0844
85107,44.0844
85208,44.0844
85308,44.0844
85414,44.0844
85514,44.0844
85614,44.0844
85714,44.0844
85819,44.0844
85919,44.0844
86019,44.0844
86122,44.0844
86222,44.0844
